module_id,ligands,receptors,coreceptors,decoys,complex_partners,pathway,expected_direction,causal_source,entry_point_version,confidence,notes
egfr_ligands,AREG;BTC;EGF;EPGN;EREG;HBEGF;TGFA,EGFR;ERBB4,ERBB2,,,EGFR,decrease,production_biobench_v2_curated_module,production_biobench_v2,medium,Classical EGFR/ERBB ligands separated from neuregulins; ERBB2 is a ligand-orphan co-receptor.
neuregulin_erbb_ligands,NRG1;NRG2;NRG3;NRG4,ERBB3;ERBB4,ERBB2,,,EGFR,decrease,production_biobench_v2_curated_module,production_biobench_v2,medium,Neuregulin/ERBB-axis ligands are not simple EGFR ligands but can still exercise the ERBB/EGFR PROGENy readout.
il10_immune,IL10,IL10RA;IL10RB,,,,JAK-STAT,decrease,production_biobench_v2_curated_module,production_biobench_v2,medium,IL10-specific immune cytokine axis split out from the broader IL10/IL20/IL22 family.
il20_24_epithelial_stromal,IL19;IL20;IL24,IL20RA;IL20RB;IL22RA1,,,,JAK-STAT,decrease,production_biobench_v2_curated_module,production_biobench_v2,medium,IL19/IL20/IL24 epithelial-stromal axis; no longer pooled with IL10 immune signaling.
il22_epithelial,IL22,IL22RA1;IL10RB,,IL22RA2,,JAK-STAT,decrease,production_biobench_v2_curated_module,production_biobench_v2,medium,IL22 responsiveness is epithelial-restricted by IL22RA1; IL22RA2 is retained only as a decoy annotation.
il26_context_specific,IL26,IL20RA;IL10RB,,,,JAK-STAT,decrease,production_biobench_v2_curated_module,production_biobench_v2_review,speculative,IL26 is split from the IL10 family but remains context-review rather than a clean default row.
il2_common_gamma_chain,IL2;IL4;IL7;IL9;IL15;IL21,IL2RA;IL2RB;IL2RG;IL4R;IL7R;IL9R;IL15RA;IL21R;IL13RA1,,,,JAK-STAT,decrease,production_biobench_v2_curated_module,production_biobench_v2,high,Common gamma chain cytokines; production v2 removes broad fibroblast sender assignment.
il6_gp130_family,IL6;IL11;LIF;OSM;CNTF;CLCF1;CTF1,IL6R;IL11RA;LIFR;OSMR;CNTFR;IL6ST,CRLF1,,CLCF1+CRLF1,JAK-STAT,decrease,production_biobench_v2_curated_module,production_biobench_v2,high,gp130/IL6ST cytokines; CRLF1 included for CLCF1 biology.
il31_osmr_ligand,IL31,IL31RA;OSMR,,,,JAK-STAT,decrease,production_biobench_v2_curated_module,production_biobench_v2,medium,IL31 is kept separate from generic IL6ST/gp130 biology because it signals through IL31RA/OSMR.
type_i_interferons,IFNA1;IFNA2;IFNA4;IFNA5;IFNA6;IFNA7;IFNA8;IFNA10;IFNA13;IFNA14;IFNA16;IFNA17;IFNA21;IFNB1;IFNW1;IFNE;IFNK,IFNAR1;IFNAR2,,,,JAK-STAT,decrease,production_biobench_v2_curated_module,production_biobench_v2,high,Type I interferon receptor axis; JAK-STAT is generic and ISG/MHC-I would be a future cleaner readout.
type_ii_interferon,IFNG,IFNGR1;IFNGR2,,,,JAK-STAT,decrease,production_biobench_v2_curated_module,production_biobench_v2,high,Type II interferon receptor axis; JAK-STAT is generic and ISG/MHC-I would be a future cleaner readout.
type_iii_interferons,IFNL1;IFNL2;IFNL3;IFNL4,IFNLR1;IL10RB,,,,JAK-STAT,decrease,production_biobench_v2_curated_module,production_biobench_v2,high,Type III interferon receptor axis; JAK-STAT is generic and ISG/MHC-I would be a future cleaner readout.
tgfb_ligands,TGFB1;TGFB2;TGFB3,TGFBR1;TGFBR2,TGFBR3,,,TGFb,decrease,production_biobench_v2_curated_module,production_biobench_v2,high,Canonical TGFB/SMAD-like axis; TGFBR3 is annotated as accessory co-receptor rather than core kinase receptor.
tnf_lta_tnfr1_2,TNF;LTA,TNFRSF1A;TNFRSF1B,,,,TNFa,decrease,production_biobench_v2_curated_module,production_biobench_v2,high,TNF/LTA homotrimer biology through TNFR1/TNFR2 split from lymphotoxin-beta/LTBR biology.
lymphotoxin_light_ltbr_hvem,LTA;LTB;TNFSF14,LTBR;TNFRSF14,,TNFRSF6B,LTA+LTB,TNFa,decrease,production_biobench_v2_curated_module,production_biobench_v2,medium,Lymphotoxin-beta/LIGHT axis separated from TNFR1/TNFR2 rows.
trail_death_receptor,TNFSF10,TNFRSF10A;TNFRSF10B,,TNFRSF10C;TNFRSF10D;TNFRSF11B,,Trail,decrease,production_biobench_v2_curated_module,production_biobench_v2_review,medium,"Canonical TRAIL receptor pair, but PROGENy Trail transcriptomic readout remains context-review."
fas_death_receptor,FASLG,FAS,,TNFRSF6B,,Trail,decrease,production_biobench_v2_curated_module,production_biobench_v2_review,medium,"Canonical FAS/FASLG receptor pair, but PROGENy Trail transcriptomic readout remains context-review."
vegfa_vegfr2_axis,VEGFA,KDR;FLT1,NRP1;NRP2,,,VEGF,decrease,production_biobench_v2_curated_module,production_biobench_v2,high,"VEGFA axis with endothelial receivers; NRP1/2 are co-receptors, not sufficient signaling receptors."
vegfb_pgf_vegfr1_axis,VEGFB;PGF,FLT1,NRP1,,,VEGF,decrease,production_biobench_v2_curated_module,production_biobench_v2,medium,VEGFR1-skewed ligands split from pan-VEGF rows.
vegfc_vegfd_vegfr3_axis,VEGFC;VEGFD,FLT4;KDR,NRP2,,,VEGF,decrease,production_biobench_v2_curated_module,production_biobench_v2,medium,VEGFR3/processed-VEGFC-D axis split from pan-VEGF rows.
canonical_wnt_ligands,WNT1;WNT2;WNT3;WNT3A;WNT7B;WNT10B,FZD1;FZD2;FZD3;FZD4;FZD5;FZD6;FZD7;FZD8;FZD9;FZD10,LRP5;LRP6,,,WNT,decrease,production_biobench_v2_curated_module,production_biobench_v2,medium,Canonical-favoring WNT ligands retained for beta-catenin/PROGENy WNT readout.
noncanonical_wnt_ligands,WNT5A;WNT5B;WNT11,FZD1;FZD2;FZD3;FZD4;FZD5;FZD6;FZD7;FZD8;FZD9;FZD10,ROR1;ROR2;RYK;PTK7;VANGL1;VANGL2,,,WNT,decrease,production_biobench_v2_curated_module,production_biobench_v2_review,speculative,Noncanonical WNT ligands are context-dependent and not clean beta-catenin/PROGENy WNT rows.
context_dependent_wnt_ligands,WNT2B;WNT4;WNT6;WNT7A;WNT8A;WNT8B;WNT9A;WNT9B;WNT10A;WNT16,FZD1;FZD2;FZD3;FZD4;FZD5;FZD6;FZD7;FZD8;FZD9;FZD10,LRP5;LRP6;ROR1;ROR2;RYK,,,WNT,decrease,production_biobench_v2_curated_module,production_biobench_v2_review,speculative,Context-dependent WNT ligands retained only in the audit manifest pending receptor-context refinement.
