held_out_cohort,selection_objective,selected_k,train_mae_orr_pct,train_pearson,train_spearman,n_test
breast,mae,50,11.719396148644401,0.2789457191173932,0.2743136627599007,8
breast,spearman,3,12.131758902269945,0.3301265370720422,0.4215319132204032,8
crc,mae,15,11.36152442395287,0.40631762956424705,0.4497851531829386,10
crc,spearman,10,11.36940729769645,0.41246748893959323,0.47533149701109473,10
gastric,mae,1,10.08730955289883,0.5404745553465279,0.5233590706019935,7
gastric,spearman,1,10.08730955289883,0.5404745553465279,0.5233590706019935,7
hnscc,mae,10,11.58716557997957,0.4076017192912032,0.4545479239596274,1
hnscc,spearman,3,11.677667529912318,0.39957959413736355,0.487455115836212,1
nsclc,mae,8,11.393572760919945,0.5044590590103221,0.5924618554713118,15
nsclc,spearman,3,11.452654913400664,0.48617091724212075,0.6441644575804591,15
ovarian,mae,25,12.040254704768826,0.3030270593542102,0.3080282664384296,10
ovarian,spearman,3,12.162661130489308,0.34744008617981414,0.4457602129610695,10
pdac,mae,25,11.533926162192666,0.341404722332768,0.31891540653663353,5
pdac,spearman,3,11.845954385103967,0.35884936812075535,0.43720559788492275,5
prostate,mae,8,11.509393743029126,0.4173821090666868,0.47073674938856785,1
prostate,spearman,3,11.553586021038267,0.40656006840511744,0.4889933064143512,1
rcc,mae,5,11.48294565839223,0.4067342134527445,0.44190529451794747,6
rcc,spearman,1,11.68866732982808,0.36805203940706904,0.46083203465194417,6
