axis_contract_version,control_family,metric,real_value,control_n,control_mean,control_sd,control_min,control_p05,control_median,control_p95,control_max,empirical_p_ge_real,mean_control_over_real
universal_response_axes_v1,hard_donor_random_wrong_drug,pearson,0.6433806502980142,100,0.2510315705684695,0.07737361921447025,0.054307593716462925,0.14137758436932615,0.25214177324351567,0.39425293595462935,0.441403638690031,0.0,0.3901758165281961
universal_response_axes_v1,hard_donor_random_wrong_drug,spearman,0.5021760365081691,100,0.2526808835515622,0.06832940308261755,0.05724758196209733,0.15441341076742185,0.25215372808705483,0.3746377146019643,0.4186713456319067,0.0,0.5031719261407882
universal_response_axes_v1,hard_donor_random_wrong_drug,within_disease_pair_weighted_pearson,0.4554468272859085,100,0.05940471843618331,0.1171054089393896,-0.18421060025668465,-0.11377209521599813,0.04572579107300773,0.23134899070449835,0.34372933484347595,0.0,0.13043173182298132
universal_response_axes_v1,hard_donor_random_wrong_drug,within_disease_pair_weighted_spearman,0.4932075050809882,100,0.03863140982693139,0.11774333529974171,-0.2254197367930313,-0.15363976681828553,0.03667855044003882,0.2290608242314482,0.2898039874140084,0.0,0.07832688965385438
universal_response_axes_v1,hard_donor_random_wrong_drug,auc_success_above_disease_median,0.7783975659229209,100,0.5260091277890466,0.03604254626880263,0.44574036511156184,0.4666328600405679,0.5258620689655172,0.5877535496957403,0.6069979716024341,0.0,0.6757589576547232
universal_response_axes_v1,hard_donor_max_wrong_drug,pearson,0.6433806502980142,1,0.3565825106852698,,0.3565825106852698,0.3565825106852698,0.3565825106852698,0.3565825106852698,0.3565825106852698,0.0,0.554232569039962
universal_response_axes_v1,hard_donor_max_wrong_drug,spearman,0.5021760365081691,1,0.3484360188448473,,0.3484360188448473,0.3484360188448473,0.3484360188448473,0.3484360188448473,0.3484360188448473,0.0,0.693852341636336
universal_response_axes_v1,hard_donor_max_wrong_drug,within_disease_pair_weighted_pearson,0.4554468272859085,1,0.2312791266535681,,0.2312791266535681,0.2312791266535681,0.2312791266535681,0.2312791266535681,0.2312791266535681,0.0,0.5078070870134347
universal_response_axes_v1,hard_donor_max_wrong_drug,within_disease_pair_weighted_spearman,0.4932075050809882,1,0.141457018228474,,0.141457018228474,0.141457018228474,0.141457018228474,0.141457018228474,0.141457018228474,0.0,0.2868103521767086
universal_response_axes_v1,hard_donor_max_wrong_drug,auc_success_above_disease_median,0.7783975659229209,1,0.5953346855983773,,0.5953346855983773,0.5953346855983773,0.5953346855983773,0.5953346855983773,0.5953346855983773,0.0,0.7648208469055375
universal_response_axes_v1,hard_donor_min_wrong_drug,pearson,0.6433806502980142,1,-0.14458416278038494,,-0.14458416278038494,-0.14458416278038494,-0.14458416278038494,-0.14458416278038494,-0.14458416278038494,0.0,-0.2247256934342267
universal_response_axes_v1,hard_donor_min_wrong_drug,spearman,0.5021760365081691,1,-0.2457295078298698,,-0.2457295078298698,-0.2457295078298698,-0.2457295078298698,-0.2457295078298698,-0.2457295078298698,0.0,-0.4893294183022459
universal_response_axes_v1,hard_donor_min_wrong_drug,within_disease_pair_weighted_pearson,0.4554468272859085,1,-0.22742436019838436,,-0.22742436019838436,-0.22742436019838436,-0.22742436019838436,-0.22742436019838436,-0.22742436019838436,0.0,-0.49934338450362686
universal_response_axes_v1,hard_donor_min_wrong_drug,within_disease_pair_weighted_spearman,0.4932075050809882,1,-0.1742808066554367,,-0.1742808066554367,-0.1742808066554367,-0.1742808066554367,-0.1742808066554367,-0.1742808066554367,0.0,-0.3533620329374723
universal_response_axes_v1,hard_donor_min_wrong_drug,auc_success_above_disease_median,0.7783975659229209,1,0.41227180527383367,,0.41227180527383367,0.41227180527383367,0.41227180527383367,0.41227180527383367,0.41227180527383367,0.0,0.529641693811075
