model_family,control,surface,label,n_patients,n_responses,n_nonresponses,auc_response_high,balanced_accuracy,threshold,predicted_responders,response_mean,nonresponse_mean
gaia,baseline,predicted_delta_moa_gate_response_probability,Predicted delta MOA gate p_response,11,5,6,0.6333333333333333,0.7333333333333334,probability >= 0.5,6,0.6299779408704578,0.3251232706089878
gaia,baseline,predicted_delta_raw_support_score,Predicted delta v3-style raw support,11,5,6,0.6333333333333333,0.7333333333333334,raw_support >= 0.55,6,0.7614288527886741,0.3770424769709169
gaia,baseline,observed_delta_moa_gate_response_probability,Observed delta MOA gate p_response,11,5,6,0.6,0.5333333333333333,probability >= 0.5,4,0.3181010958399086,0.2675909942351371
gaia,baseline,observed_delta_raw_support_score,Observed delta v3-style raw support,11,5,6,0.6333333333333333,0.65,raw_support >= 0.55,7,0.7035468078544967,0.472069776600344
gaia,baseline,predicted_state_moa_gate_response_probability,Predicted absolute-state MOA gate p_response,11,5,6,0.6666666666666666,0.6166666666666667,probability >= 0.5,3,0.4656105552888593,0.2918470883389314
gaia,baseline,observed_state_moa_gate_response_probability,Observed absolute-state MOA gate p_response,11,5,6,0.8666666666666667,0.9166666666666669,probability >= 0.5,6,0.6128029345374728,0.3544891175746233
gaia,baseline,predicted_delta_four_family_risk_sum,Predicted delta four-family risk sum,11,5,6,0.6333333333333333,0.7333333333333334,risk <= 0,6,-4.59138696121712,-1.8092024989714055
gaia,baseline,observed_delta_four_family_risk_sum,Observed delta four-family risk sum,11,5,6,0.5333333333333333,0.65,risk <= 0,7,-2.1122739353710154,-1.5525671634998452
gaia,baseline,gene_delta_cosine_z,Predicted-vs-observed gene delta cosine z,11,5,6,0.7,0.75,score >= 0,8,0.0916994798851072,0.0243797943592158
gaia,baseline,cascade_state_cosine_gain_z,Cascade state cosine gain z,11,5,6,0.5,0.55,score >= 0,6,-0.0507250515821212,-0.0302775702012543
gaia,gene_shuffled,predicted_delta_moa_gate_response_probability,Predicted delta MOA gate p_response,11,5,6,0.5666666666666667,0.4833333333333333,probability >= 0.5,9,0.7406721026189714,0.6876263096088816
gaia,gene_shuffled,predicted_delta_raw_support_score,Predicted delta v3-style raw support,11,5,6,0.5666666666666667,0.65,raw_support >= 0.55,7,0.8046311649711291,0.6598001934645347
gaia,gene_shuffled,observed_delta_moa_gate_response_probability,Observed delta MOA gate p_response,11,5,6,0.6,0.5333333333333333,probability >= 0.5,4,0.3181010958399086,0.2675909942351371
gaia,gene_shuffled,observed_delta_raw_support_score,Observed delta v3-style raw support,11,5,6,0.6333333333333333,0.65,raw_support >= 0.55,7,0.7035468078544967,0.472069776600344
gaia,gene_shuffled,predicted_state_moa_gate_response_probability,Predicted absolute-state MOA gate p_response,11,5,6,0.5333333333333333,0.45,probability >= 0.5,5,0.4728002005474169,0.4747795677983613
gaia,gene_shuffled,observed_state_moa_gate_response_probability,Observed absolute-state MOA gate p_response,11,5,6,0.8666666666666667,0.9166666666666669,probability >= 0.5,6,0.6128029345374728,0.3544891175746233
gaia,gene_shuffled,predicted_delta_four_family_risk_sum,Predicted delta four-family risk sum,11,5,6,0.7,0.5,risk <= 0,11,-4.784139387746005,-3.1219304156356156
gaia,gene_shuffled,observed_delta_four_family_risk_sum,Observed delta four-family risk sum,11,5,6,0.5333333333333333,0.65,risk <= 0,7,-2.1122739353710154,-1.5525671634998452
gaia,gene_shuffled,gene_delta_cosine_z,Predicted-vs-observed gene delta cosine z,11,5,6,0.5666666666666667,0.75,score >= 0,8,0.0857094686815543,0.0062155021604578
gaia,gene_shuffled,cascade_state_cosine_gain_z,Cascade state cosine gain z,11,5,6,0.5,0.6333333333333333,score >= 0,5,-0.0718972474131463,-0.0416365913605604
gaia,hard_donor,predicted_delta_moa_gate_response_probability,Predicted delta MOA gate p_response,11,5,6,0.6333333333333333,0.7333333333333334,probability >= 0.5,6,0.6316519337585823,0.3200193415811327
gaia,hard_donor,predicted_delta_raw_support_score,Predicted delta v3-style raw support,11,5,6,0.6333333333333333,0.7333333333333334,raw_support >= 0.55,6,0.7499496467596283,0.3748475059904183
gaia,hard_donor,observed_delta_moa_gate_response_probability,Observed delta MOA gate p_response,11,5,6,0.6,0.5333333333333333,probability >= 0.5,4,0.3181010958399086,0.2675909942351371
gaia,hard_donor,observed_delta_raw_support_score,Observed delta v3-style raw support,11,5,6,0.6333333333333333,0.65,raw_support >= 0.55,7,0.7035468078544967,0.472069776600344
gaia,hard_donor,predicted_state_moa_gate_response_probability,Predicted absolute-state MOA gate p_response,11,5,6,0.4666666666666667,0.5166666666666667,probability >= 0.5,2,0.2671225253381291,0.2764734994288076
gaia,hard_donor,observed_state_moa_gate_response_probability,Observed absolute-state MOA gate p_response,11,5,6,0.8666666666666667,0.9166666666666669,probability >= 0.5,6,0.6128029345374728,0.3544891175746233
gaia,hard_donor,predicted_delta_four_family_risk_sum,Predicted delta four-family risk sum,11,5,6,0.6666666666666666,0.7333333333333334,risk <= 0,6,-3.608003846412248,-1.313559148752019
gaia,hard_donor,observed_delta_four_family_risk_sum,Observed delta four-family risk sum,11,5,6,0.5333333333333333,0.65,risk <= 0,7,-2.1122739353710154,-1.5525671634998452
gaia,hard_donor,gene_delta_cosine_z,Predicted-vs-observed gene delta cosine z,11,5,6,0.7333333333333333,0.75,score >= 0,8,0.0841199603827921,0.0297810064403173
gaia,hard_donor,cascade_state_cosine_gain_z,Cascade state cosine gain z,11,5,6,0.5333333333333333,0.55,score >= 0,6,-0.0523230986915465,-0.0244163517764774
